Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url_x,url_y,url
14,La Fuerza de la Mayoría,PS,"('Leonardo', 'Soto', 'Ferrada')",22170.0,7.31,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leonardo_Enrique_Soto_Ferrada,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leonardo_Enrique_Soto_Ferrada,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leonardo_Enrique_Soto_Ferrada
14,Por Todo Chile,PRO,"('Marisela', 'Santibañez', 'Novoa')",35984.0,11.86,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marisela_del_Carmen_Santibáñez_Novoa,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marisela_del_Carmen_Santibáñez_Novoa,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marisela_del_Carmen_Santibáñez_Novoa
15,Chile Vamos,UDI,"('Javier', 'Macaya', 'Danus')",25219.0,13.98,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Javier_Ignacio_Macaya_Danus,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Javier_Ignacio_Macaya_Danus,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Javier_Ignacio_Macaya_Danus
15,Chile Vamos,UDI,"('Issa', 'Kort', 'Garriga')",16773.0,9.3,*,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Issa_Farid_Kort_Garriga,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Issa_Farid_Kort_Garriga,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Issa_Farid_Kort_Garriga
15,Chile Vamos,RN,"('Diego', 'Schalper', 'Sepulveda')",19285.0,10.69,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Diego_Ignacio_Schalper_Sepúlveda,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Diego_Ignacio_Schalper_Sepúlveda,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Diego_Ignacio_Schalper_Sepúlveda
15,Chile Vamos,UDI,"('Juan', 'Manuel', 'Masferrer', 'Vidal')",0.0,0.0,,*,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Manuel_Masferrer_Vidal
15,Convergencia Democrática,PDC,"('Raul', 'Soto', 'Mardones')",9026.0,5.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Humberto_Soto_Mardones,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Humberto_Soto_Mardones,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Humberto_Soto_Mardones
15,La Fuerza de la Mayoría,PS,"('Juan', 'Luis', 'Castro', 'Gonzalez')",17849.0,9.89,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Castro_González,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Castro_González,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Castro_González
16,Chile Vamos,UDI,"('Ramon', 'Barros', 'Montero')",21866.0,15.92,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_José_Barros_Montero,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_José_Barros_Montero,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_José_Barros_Montero
16,Chile Vamos,UDI,"('Virginia', 'Troncoso', 'Hellman')",7987.0,5.82,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Virginia_Eugenia_Troncoso_Hellman,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Virginia_Eugenia_Troncoso_Hellman,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Virginia_Eugenia_Troncoso_Hellman
