Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Valparaíso,Confederación de la Democracia,PDC,"('Teresa', 'Maillet', 'de de la Maza')",11697,3.27,,,
Valparaíso,Confederación de la Democracia,PDC,"('Héctor', 'Castro', 'Castro')",16192,4.52,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Héctor_Castro_Castro
Valparaíso,Confederación de la Democracia,PDC,"('Alfonso', 'Ansieta', 'Núñez')",25116,7.01,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfonso_Ansieta_Nuñez
Valparaíso,Confederación de la Democracia,PDC,"('Jorge', 'Santibáñez', 'Ceardi')",15871,4.43,,,
Valparaíso,Confederación de la Democracia,PN,"('Eugenio', 'Ortúzar', 'Latapiat')",20037,5.6,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Ortúzar_Latapiat
Valparaíso,Confederación de la Democracia,PN,"('Gustavo', 'Lorca', 'Rojas')",19104,5.34,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Lorca_Rojas
Valparaíso,Unidad Popular,IC,"('Osvaldo', 'Giannini', 'Íñiguez')",5279,1.47,,,
Valparaíso,Unidad Popular,PC,"('Carlos', 'Andrade', 'Vera')",25663,7.17,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Andrade_Vera
Valparaíso,Unidad Popular,PS,"('Andrés', 'Sepúlveda', 'Carmona')",11549,3.22,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Segundo_Sepúlveda_Carmona
Valparaíso,Unidad Popular,API,"('Gloria', 'Fernández', 'Farías')",845,0.23,,,
Valparaíso,Unidad Popular,VL-UP,(),3610,1.0,,,
Valparaíso,Unidad Popular,PC,"('Manuel', 'Segundo', 'Cantero', 'Prado')",27833,7.78,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Segundo_Cantero_Prado
Valparaíso,Unidad Popular,PS,"('Nelson', 'Salinas', 'Guzmán')",6432,1.79,,,
Valparaíso,Unidad Popular,PC,"('Luis', 'Alberto', 'Guastavino', 'Córdova')",23935,6.69,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Alberto_Guastavino_Córdova
Valparaíso,Unidad Popular,PC,"('Rodemil', 'Yáñez', 'Yáñez')",353,0.1,,,
Valparaíso,Unidad Popular,PS,"('Armando', 'Barrientos', 'Miranda')",11579,3.23,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Armando_Barrientos_Miranda
Valparaíso,Unidad Popular,MAPU,"('Juan', 'Enrique', 'Vega', 'Patri')",7807,2.18,,,
Valparaíso,Unidad Popular,PS,"('Jorge', 'Cox', 'Méndez')",9432,2.63,,,
Valparaíso,Unidad Popular,PR,"('Mario', 'Barahona', 'Ceballos')",11412,3.19,,,
Valparaíso,Válidamente emitidos,,(),352937,98.86,,,
Valparaíso,Nulos,,(),3132,0.86,,,
Valparaíso,Blancos,,(),990,0.28,,,
Valparaíso,Total,,(),357059,100.0,,,
Santiago-1,Confederación de la Democracia,PDC,"('Luis', 'Pareto', 'González')",19592,5.06,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Pareto_González
Santiago-1,Confederación de la Democracia,PDC,"('Luis', 'Ricardo', 'Hormazábal', 'Sánchez')",9734,2.51,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Ricardo_Hormazábal_Sánchez
Santiago-1,Confederación de la Democracia,PN,"('Hermógenes', 'Pérez de Arce', 'Ibieta')",33449,8.64,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hermógenes_Pérez_de_Arce_Ibieta
Santiago-1,Confederación de la Democracia,PN,"('Gustavo', 'Monckeberg', 'Barros')",10555,2.73,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Monckeberg_Barros
Santiago-1,Confederación de la Democracia,PN,"('Juan', 'Luis', 'Ossa', 'Bulnes')",9534,2.46,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Ossa_Bulnes
Santiago-1,Confederación de la Democracia,PN,"('Mario', 'Arnello', 'Romo')",7687,1.98,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Arnello_Romo
Santiago-1,Confederación de la Democracia,PN,"('Silvia', 'Pinto', 'Torres')",19116,4.94,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Silvia_Emiliana_Pinto_Torres
Santiago-1,Confederación de la Democracia,VL-CODE,(),5296,1.37,,,
Santiago-1,Confederación de la Democracia,PADENA,"('Jorge', 'Hazbún', 'Díaz')",959,0.25,,,
Santiago-1,Confederación de la Democracia,DR,"('Rafael', 'Otero', 'Echeverría')",18382,4.75,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Otero_Echeverría
Santiago-1,Confederación de la Democracia,PDC,"('Manuel', 'Fernández', 'Díaz')",6244,1.61,,,
Santiago-1,Confederación de la Democracia,DR,"('Rafael', 'Señoret', 'Lapsley')",5170,1.33,,,
Santiago-1,Confederación de la Democracia,PDC,"('Bernardo', 'Leighton', 'Guzmán')",35158,9.08,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardo_Leighton_Guzmán
Santiago-1,Confederación de la Democracia,PDC,"('Fernando', 'Humberto', 'Andrés', 'Sanhueza', 'Herbage')",11188,2.89,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Humberto_Andrés_Sanhueza_Herbage
Santiago-1,Confederación de la Democracia,PIR,"('Arturo', 'Venegas', 'Gutiérrez')",3827,1.0,,,
Santiago-1,Confederación de la Democracia,PDC,"('Wilna', 'Yolanda', 'Saavedra', 'Cortés')",19362,5.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Wilna_Yolanda_Saavedra_Cortés
Santiago-1,Confederación de la Democracia,PDC,"('Claudio', 'Orrego', 'Vicuña')",18870,4.87,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Claudio_Orrego_Vicuña
Santiago-1,Confederación de la Democracia,PDC,"('Santiago', 'Pereira', 'Becerra')",6896,1.78,,,
Santiago-1,Confederación de la Democracia,PN,"('Engelberto', 'Frías', 'Morán')",6486,1.67,,,
Santiago-1,Unidad Popular,VL-UP,(),4502,1.16,,,
Santiago-1,Unidad Popular,PS,"('Fidelma', 'Allende', 'Miranda')",13744,3.55,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fidelma_Allende_Miranda
Santiago-1,Unidad Popular,MAPU,"('José', 'Antonio', 'Viera-Gallo', 'Quesney')",4145,1.07,,,
Santiago-1,Unidad Popular,PC,"('Pedro', 'Aravena', 'Navarrete')",10552,2.72,,,
Santiago-1,Unidad Popular,PC,"('Alejandro', 'Rojas', 'Wainer')",14526,3.75,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Víctor_Manuel_Rojas_Wainer
