Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
Araucanía Sur,Concertación y Juntos Podemos por más Democracia,PPD,1,74403,29.07,1
Araucanía Sur,Coalición por el Cambio,RN,1,57439,22.44,1
Araucanía Sur,Coalición por el Cambio,UDI,0,0,0.0,0
Araucanía Sur,Nueva Mayoría para Chile,PH,1,2794,1.09,0
Araucanía Sur,Chile Limpio. Vote Feliz,PRI,1,11495,4.49,0
Araucanía Sur,Chile Limpio. Vote Feliz,MAS,0,0,0.0,0
Araucanía Sur,Válidamente emitidos,,0,255929,100.0,0
Aysén,Concertación y Juntos Podemos por más Democracia,PPD,0,0,0.0,0
Aysén,Concertación y Juntos Podemos por más Democracia,PDC,1,11336,27.54,1
Aysén,Concertación y Juntos Podemos por más Democracia,PS,0,0,0.0,0
Aysén,Concertación y Juntos Podemos por más Democracia,PRSD,1,3953,9.6,0
Aysén,Coalición por el Cambio,RN,1,14250,34.62,1
Aysén,Coalición por el Cambio,UDI,0,0,0.0,0
Aysén,Nueva Mayoría para Chile,PH,0,0,0.0,0
Aysén,Chile Limpio. Vote Feliz,PRI,2,11628,28.25,0
Aysén,Chile Limpio. Vote Feliz,MAS,0,0,0.0,0
Aysén,Válidamente emitidos,,0,41167,100.0,0
