Distrito,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
D35,Chile Limpio. Vote Feliz,2,3083,3.95,0
D35,Válidamente emitidos,0,78037,100.0,0
D36,Concertación y Juntos Podemos por más Democracia,2,65242,54.41,1
D36,Coalición por el Cambio,2,46814,39.04,1
D36,Nueva Mayoría para Chile,1,1532,1.28,0
D36,Chile Limpio. Vote Feliz,2,6310,5.26,0
D36,Válidamente emitidos,0,119898,100.0,0
D37,Concertación y Juntos Podemos por más Democracia,2,42813,50.99,1
D37,Coalición por el Cambio,2,37801,45.02,1
D37,Nueva Mayoría para Chile,1,1474,1.76,0
D37,Chile Limpio. Vote Feliz,2,1879,2.24,0
D37,Válidamente emitidos,0,83967,100.0,0
D38,Concertación y Juntos Podemos por más Democracia,2,44214,57.79,1
D38,Coalición por el Cambio,2,30450,39.8,1
D38,Nueva Mayoría para Chile,0,0,0.0,0
D38,Chile Limpio. Vote Feliz,1,1843,2.41,0
D38,Válidamente emitidos,0,76507,100.0,0
D39,Concertación y Juntos Podemos por más Democracia,2,42089,50.41,1
D39,Coalición por el Cambio,2,40096,48.02,1
D39,Nueva Mayoría para Chile,1,1306,1.56,0
D39,Chile Limpio. Vote Feliz,0,0,0.0,0
D39,Válidamente emitidos,0,83491,100.0,0
D40,Concertación y Juntos Podemos por más Democracia,2,34842,47.76,1
D40,Coalición por el Cambio,2,37060,50.8,1
D40,Nueva Mayoría para Chile,1,1047,1.44,0
D40,Chile Limpio. Vote Feliz,0,0,0.0,0
D40,Válidamente emitidos,0,72949,100.0,0
D41,Concertación y Juntos Podemos por más Democracia,2,46704,37.07,1
D41,Coalición por el Cambio,2,74240,58.92,1
D41,Nueva Mayoría para Chile,2,3120,2.48,0
D41,Chile Limpio. Vote Feliz,1,1927,1.53,0
D41,Válidamente emitidos,0,125991,100.0,0
D42,Concertación y Juntos Podemos por más Democracia,2,58818,52.3,1
D42,Coalición por el Cambio,2,39891,35.47,1
D42,Nueva Mayoría para Chile,1,1601,1.42,0
D42,Chile Limpio. Vote Feliz,2,12149,10.8,0
D42,Válidamente emitidos,0,112459,100.0,0
D43,Concertación y Juntos Podemos por más Democracia,2,59991,55.93,1
D43,Coalición por el Cambio,2,39305,36.65,1
D43,Nueva Mayoría para Chile,1,2341,2.18,0
D43,Chile Limpio. Vote Feliz,1,2070,1.93,0
D43,Candidatura Independiente,1,3550,3.31,0
D43,Válidamente emitidos,0,107257,100.0,0
D44,Concertación y Juntos Podemos por más Democracia,2,82203,48.98,1
D44,Coalición por el Cambio,2,73667,43.89,1
D44,Nueva Mayoría para Chile,1,9471,5.64,0
D44,Chile Limpio. Vote Feliz,1,2502,1.49,0
D44,Válidamente emitidos,0,167843,100.0,0
D45,Concertación y Juntos Podemos por más Democracia,2,57519,50.65,1
D45,Coalición por el Cambio,2,39278,34.59,1
D45,Nueva Mayoría para Chile,0,0,0.0,0
D45,Chile Limpio. Vote Feliz,2,16758,14.76,0
D45,Válidamente emitidos,0,113555,100.0,0
D46,Concertación y Juntos Podemos por más Democracia,2,52686,54.08,1
D46,Coalición por el Cambio,2,42984,44.12,1
D46,Nueva Mayoría para Chile,0,0,0.0,0
D46,Chile Limpio. Vote Feliz,1,1750,1.8,0
D46,Válidamente emitidos,0,97420,100.0,0
D47,Concertación y Juntos Podemos por más Democracia,2,70331,51.01,1
D47,Coalición por el Cambio,2,61976,44.95,1
D47,Nueva Mayoría para Chile,2,3128,2.27,0
D47,Chile Limpio. Vote Feliz,1,2433,1.76,0
D47,Válidamente emitidos,0,137868,100.0,0
D48,Concertación y Juntos Podemos por más Democracia,2,31362,46.5,1
D48,Coalición por el Cambio,2,32141,47.65,1
D48,Nueva Mayoría para Chile,1,2870,4.26,0
D48,Chile Limpio. Vote Feliz,1,1073,1.59,0
D48,Válidamente emitidos,0,67446,100.0,0
D49,Concertación y Juntos Podemos por más Democracia,2,32956,49.34,1
D49,Coalición por el Cambio,2,31638,47.36,1
D49,Nueva Mayoría para Chile,2,2203,3.3,0
D49,Chile Limpio. Vote Feliz,0,0,0.0,0
D49,Válidamente emitidos,0,66797,100.0,0
D50,Concertación y Juntos Podemos por más Democracia,2,59347,49.43,1
D50,Coalición por el Cambio,2,48269,40.21,1
D50,Nueva Mayoría para Chile,2,4557,3.8,0
D50,Chile Limpio. Vote Feliz,2,3275,2.73,0
D50,Candidatura Independiente,1,4604,3.84,0
D50,Válidamente emitidos,0,120052,100.0,0
D51,Concertación y Juntos Podemos por más Democracia,2,28404,42.38,1
D51,Coalición por el Cambio,2,22046,32.89,1
D51,Nueva Mayoría para Chile,2,8105,12.09,0
D51,Chile Limpio. Vote Feliz,2,8468,12.63,0
D51,Válidamente emitidos,0,67023,100.0,0
D52,Concertación y Juntos Podemos por más Democracia,2,31104,46.02,1
D52,Coalición por el Cambio,2,31412,46.47,1
D52,Nueva Mayoría para Chile,2,2098,3.1,0
D52,Chile Limpio. Vote Feliz,2,2977,4.4,0
D52,Válidamente emitidos,0,67591,100.0,0
D53,Concertación y Juntos Podemos por más Democracia,2,49053,58.55,1
D53,Coalición por el Cambio,2,32669,39.0,1
D53,Nueva Mayoría para Chile,0,0,0.0,0
D53,Chile Limpio. Vote Feliz,2,2054,2.45,0
D53,Válidamente emitidos,0,83776,100.0,0
D54,Concertación y Juntos Podemos por más Democracia,2,39206,50.59,1
D54,Coalición por el Cambio,2,36727,47.39,1
D54,Nueva Mayoría para Chile,0,0,0.0,0
D54,Chile Limpio. Vote Feliz,2,1563,2.02,0
D54,Válidamente emitidos,0,77496,100.0,0
D55,Concertación y Juntos Podemos por más Democracia,2,33506,43.18,1
D55,Coalición por el Cambio,2,37996,48.97,1
D55,Nueva Mayoría para Chile,0,0,0.0,0
D55,Chile Limpio. Vote Feliz,2,6093,7.85,0
D55,Válidamente emitidos,0,77595,100.0,0
D56,Concertación y Juntos Podemos por más Democracia,2,44291,57.9,1
D56,Coalición por el Cambio,2,29644,38.75,1
D56,Nueva Mayoría para Chile,0,0,0.0,0
D56,Chile Limpio. Vote Feliz,2,2559,3.35,0
D56,Válidamente emitidos,0,76494,100.0,0
D57,Concertación y Juntos Podemos por más Democracia,2,37305,42.62,1
D57,Coalición por el Cambio,2,42325,48.36,1
D57,Nueva Mayoría para Chile,0,0,0.0,0
D57,Chile Limpio. Vote Feliz,2,2340,2.67,0
D57,Candidatura Independiente,1,5556,6.35,0
D57,Válidamente emitidos,0,87526,100.0,0
D58,Concertación y Juntos Podemos por más Democracia,2,34095,45.12,1
D58,Coalición por el Cambio,2,41469,54.88,1
D58,Nueva Mayoría para Chile,0,0,0.0,0
