Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
20,Coalición por el Cambio,UDI,1,56168,23.26,1
20,Coalición por el Cambio,RN,1,38296,15.86,0
20,Chile Limpio. Vote Feliz,PRI,2,3256,1.35,0
20,Válidamente emitidos,,0,241446,100.0,0
21,Concertación y Juntos Podemos por más Democracia,PDC,1,52982,29.79,1
21,Coalición por el Cambio,UDI,1,47013,26.44,0
21,Coalición por el Cambio,RN,1,48732,27.4,1
21,Nueva Mayoría para Chile,PH,1,6658,3.74,0
21,Chile Limpio. Vote Feliz,PRI,1,3547,1.99,0
21,Válidamente emitidos,,0,177839,100.0,0
22,Concertación y Juntos Podemos por más Democracia,PS,1,9018,8.29,0
22,Concertación y Juntos Podemos por más Democracia,PPD,1,42060,38.66,1
22,Coalición por el Cambio,RN,1,38949,35.8,1
22,Coalición por el Cambio,UDI,1,9696,8.91,0
22,Nueva Mayoría para Chile,PH,1,3705,3.41,0
22,Chile Limpio. Vote Feliz,PRI,1,2428,2.23,0
22,Válidamente emitidos,,0,108786,100.0,0
23,Concertación y Juntos Podemos por más Democracia,PRSD,1,22612,10.49,0
23,Coalición por el Cambio,RN,1,77484,35.93,1
23,Coalición por el Cambio,UDI,1,60272,27.95,1
23,Nueva Mayoría para Chile,PH,2,4206,1.95,0
23,Chile Limpio. Vote Feliz,PRI,2,2712,1.26,0
23,Candidatura Independiente,IND,1,21155,9.81,0
23,Válidamente emitidos,,0,215643,100.0,0
24,Concertación y Juntos Podemos por más Democracia,PDC,1,28741,21.24,0
24,Concertación y Juntos Podemos por más Democracia,PPD,1,31383,23.19,1
24,Coalición por el Cambio,RN,1,19024,14.06,0
24,Coalición por el Cambio,UDI,1,44969,33.24,1
24,Nueva Mayoría para Chile,PH,1,5021,3.71,0
24,Válidamente emitidos,,0,135303,100.0,0
25,Concertación y Juntos Podemos por más Democracia,PDC,1,29876,21.02,0
25,Concertación y Juntos Podemos por más Democracia,PPD,1,43794,30.81,1
25,Coalición por el Cambio,RN,1,26337,18.53,0
25,Coalición por el Cambio,UDI,1,28444,20.01,1
25,Nueva Mayoría para Chile,PH,2,7389,5.2,0
25,Chile Limpio. Vote Feliz,PRI,1,3115,2.19,0
25,Válidamente emitidos,,0,142146,100.0,0
26,Concertación y Juntos Podemos por más Democracia,PDC,1,6455,4.57,0
26,Concertación y Juntos Podemos por más Democracia,PS,1,71173,50.44,1
26,Coalición por el Cambio,UDI,1,36438,25.82,1
26,Nueva Mayoría para Chile,PH,2,2929,2.08,0
26,Chile Limpio. Vote Feliz,PRI,1,1310,0.93,0
26,Válidamente emitidos,,0,141103,100.0,0
27,Concertación y Juntos Podemos por más Democracia,PPD,1,47765,31.89,1
27,Concertación y Juntos Podemos por más Democracia,PS,1,25731,17.18,0
27,Coalición por el Cambio,UDI,1,53683,35.84,1
27,Nueva Mayoría para Chile,PH,2,4216,2.81,0
27,Chile Limpio. Vote Feliz,MAS,1,2598,1.73,0
27,Chile Limpio. Vote Feliz,PRI,1,2578,1.72,0
27,Válidamente emitidos,,0,149776,100.0,0
28,Concertación y Juntos Podemos por más Democracia,PC,1,49040,33.52,1
28,Concertación y Juntos Podemos por más Democracia,PPD,1,36004,24.61,0
28,Coalición por el Cambio,UDI,1,22588,15.44,0
28,Coalición por el Cambio,RN,1,31882,21.79,1
28,Chile Limpio. Vote Feliz,PRI,2,6780,4.63,0
28,Válidamente emitidos,,0,146294,100.0,0
29,Concertación y Juntos Podemos por más Democracia,PDC,1,26061,14.12,0
29,Concertación y Juntos Podemos por más Democracia,PS,1,55152,29.88,1
29,Coalición por el Cambio,UDI,1,42334,22.93,0
29,Coalición por el Cambio,RN,1,45464,24.63,1
29,Nueva Mayoría para Chile,PH,1,6161,3.34,0
29,Chile Limpio. Vote Feliz,PRI,2,9415,5.1,0
29,Válidamente emitidos,,0,184587,100.0,0
30,Concertación y Juntos Podemos por más Democracia,PPD,1,29335,19.27,1
30,Concertación y Juntos Podemos por más Democracia,PDC,1,22548,14.81,0
30,Coalición por el Cambio,UDI,1,53423,35.1,1
30,Coalición por el Cambio,RN,1,12329,8.1,0
30,Nueva Mayoría para Chile,PH,1,5052,3.32,0
30,Chile Limpio. Vote Feliz,MAS,1,1960,1.29,0
30,Chile Limpio. Vote Feliz,PRI,1,2143,1.41,0
30,Candidatura Independiente,IND,1,21079,13.85,0
30,Candidatura Independiente,IND,1,4332,2.85,0
30,Válidamente emitidos,,0,152201,100.0,0
31,Concertación y Juntos Podemos por más Democracia,PS,1,52763,32.23,1
31,Concertación y Juntos Podemos por más Democracia,PDC,1,16842,10.29,0
31,Coalición por el Cambio,UDI,1,60833,37.16,1
31,Coalición por el Cambio,RN,1,23441,14.32,0
31,Nueva Mayoría para Chile,PH,1,4306,2.63,0
31,Chile Limpio. Vote Feliz,PRI,2,5523,3.37,0
31,Válidamente emitidos,,0,163708,100.0,0
32,Concertación y Juntos Podemos por más Democracia,PPD,1,13475,14.92,0
32,Concertación y Juntos Podemos por más Democracia,PS,1,27772,30.76,1
32,Coalición por el Cambio,UDI,1,31346,34.71,1
