Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
8,Candidatura Independiente,IND,"['Pedro', 'Velásquez', 'Seguel']",25919,24.37,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Antonio_Velásquez_Seguel
8,Válidamente emitidos,,[],106372,100,,
9,Concertación y Juntos Podemos por más Democracia,PDC,"['Renán', 'Fuentealba', 'Vildósola']",10729,17.69,,
9,Concertación y Juntos Podemos por más Democracia,PPD,"['Adriana', 'Muñoz', 'Dalbora']",15332,25.29,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Adriana_Muñoz_D'Albora
9,Coalición por el Cambio,UDI,"['Darío', 'Molina', 'Sanhueza']",12219,20.15,,
9,Coalición por el Cambio,IND,"['Juan', 'Enrique', 'Jara', 'Opazo']",2934,4.84,,
9,Nueva Mayoría para Chile,PH,"['Catherine', 'Guerra', 'Gallardo']",831,1.37,,
9,Chile Limpio. Vote Feliz,PRI,"['Eduardo', 'Edmundo', 'Salas', 'Cerda']",2856,4.71,,
9,Chile Limpio. Vote Feliz,PRI,"['Luis', 'Lemus', 'Aracena']",15735,25.95,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Segundo_Lemus_Aracena
9,Válidamente emitidos,,[],60636,100,,
10,Concertación y Juntos Podemos por más Democracia,PS,"['Arturo', 'Barrios', 'Oteíza']",12856,9.4,,
10,Concertación y Juntos Podemos por más Democracia,PDC,"['Eduardo', 'Cerda', 'García']",30017,21.94,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Antonio_Cerda_García
10,Coalición por el Cambio,IND,"['Andrea', 'Molina', 'Oliva']",36000,26.31,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrea_Molina_Oliva
10,Coalición por el Cambio,RN,"['Alfonso', 'Vargas', 'Lyng']",34859,25.48,,
10,Nueva Mayoría para Chile,IND,"['Fernando', 'Orellana', 'Astorga']",1941,1.42,,
10,Nueva Mayoría para Chile,IND,"['Esteban', 'Maturana', 'Doña']",11266,8.24,,
10,Chile Limpio. Vote Feliz,PRI,"['Juan', 'Manuel', 'Díaz', 'Villanueva']",6584,4.81,,
10,Candidatura Independiente,IND,"['Tomás', 'Díaz', 'Hormazábal']",3282,2.4,,
10,Válidamente emitidos,,[],136805,100,,
11,Concertación y Juntos Podemos por más Democracia,PC,"['Daniel', 'Garrido', 'Quintanilla']",3917,3.66,,
11,Concertación y Juntos Podemos por más Democracia,PPD,"['Marco', 'Antonio', 'Núñez', 'Lozano']",49801,46.55,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Núñez_Lozano
11,Coalición por el Cambio,UDI,"['Juan', 'Antonio', 'Coloma', 'Alamos']",21209,19.82,,
11,Coalición por el Cambio,RN,"['Gaspar', 'Rivas', 'Sánchez']",21634,20.22,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gaspar_Alberto_Rivas_Sánchez
11,Nueva Mayoría para Chile,PH,"['Ricardo', 'Georges', 'Cid']",1081,1.01,,
11,Nueva Mayoría para Chile,IND,"['Leonardo', 'Véliz', 'Díaz']",3413,3.19,,
11,Candidatura Independiente,IND,"['Claudio', 'Rodríguez', 'Cataldo']",5937,5.55,,
11,Válidamente emitidos,,[],106992,100,,
12,Concertación y Juntos Podemos por más Democracia,PS,"['Marcelo', 'Schilling', 'Rodríguez']",24124,19.83,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Schilling_Rodríguez
12,Concertación y Juntos Podemos por más Democracia,PRSD,"['Rodrigo', 'Eduardo', 'Oliver', 'Varas']",15025,12.35,,
12,Coalición por el Cambio,UDI,"['Arturo', 'Squella', 'Ovalle']",30108,24.75,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Squella_Ovalle
12,Coalición por el Cambio,RN,"['Amelia', 'Herrera', 'Silva']",30092,24.74,,
12,Nueva Mayoría para Chile,PH,"['Martín', 'Ristempart', 'Soto']",2598,2.14,,
12,Nueva Mayoría para Chile,IND,"['Marcelo', 'Trivelli', 'Oyarzún']",17554,14.43,,
12,Chile Limpio. Vote Feliz,PRI,"['Flavio', 'Castillo', 'Castillo']",1097,0.9,,
12,Chile Limpio. Vote Feliz,PRI,"['Milovan', 'Andro', 'Pablo', 'Kegevic', 'Bustamante']",1052,0.86,,
12,Válidamente emitidos,,[],121650,100,,
13,Concertación y Juntos Podemos por más Democracia,PPD,"['Laura', 'Soto', 'González']",18945,14.49,,
13,Concertación y Juntos Podemos por más Democracia,PDC,"['Aldo', 'Cornejo', 'González']",40582,31.04,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aldo_Cornejo_González
13,Coalición por el Cambio,IND,"['Rossana', 'Ducaseau', 'Flores']",22239,17.01,,
13,Coalición por el Cambio,RN,"['Joaquín', 'Godoy', 'Ibáñez']",38183,29.2,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Godoy_Ibáñez
13,Nueva Mayoría para Chile,PH,"['Jaime', 'González', 'Tapia']",2743,2.1,,
13,Nueva Mayoría para Chile,IND,"['Francisco', 'Marín', 'Castro']",5851,4.47,,
13,Chile Limpio. Vote Feliz,PRI,"['Abelardo', 'Cubillos', 'Cofré']",969,0.74,,
13,Chile Limpio. Vote Feliz,PRI,"['Manuel', 'Apablaza', 'Lastarria']",1239,0.95,,
13,Válidamente emitidos,,[],130751,100,,
14,Concertación y Juntos Podemos por más Democracia,PPD,"['Rodrigo', 'González', 'Torres']",41168,25.89,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodrigo_René_González_Torres
14,Concertación y Juntos Podemos por más Democracia,PRSD,"['Emilio', 'Alejandro', 'Oñate', 'Vera']",22914,14.41,,
14,Coalición por el Cambio,RN,"['Carlos', 'Gómez', 'González']",32142,20.21,,
14,Coalición por el Cambio,UDI,"['Edmundo', 'Eluchans', 'Urenda']",45829,28.82,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edmundo_Eluchans_Urenda
14,Nueva Mayoría para Chile,IND,"['Julia', 'Rojas', 'Vásquez']",2487,1.56,,
14,Nueva Mayoría para Chile,PH,"['Jaime', 'Romero', 'Pérez']",2838,1.78,,
14,Chile Limpio. Vote Feliz,IND,"['Aníbal', 'González', 'Estay']",4911,3.09,,
14,Candidatura Independiente,IND,"['Andrés', 'Lavín', 'Alvear']",6715,4.22,,
14,Válidamente emitidos,,[],159004,100,,
15,Concertación y Juntos Podemos por más Democracia,PRSD,"['Patricio', 'Tombolini', 'Véliz']",7831,9.13,,
15,Concertación y Juntos Podemos por más Democracia,PDC,"['Víctor', 'Torres', 'Jeldes']",18102,21.11,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Marcelo_Torres_Jeldes
15,Coalición por el Cambio,UDI,"['María', 'José', 'Hoffmann', 'Opazo']",20585,24,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_José_Hoffmann_Opazo
15,Coalición por el Cambio,RN,"['Carmen', 'Ibáñez', 'Soto']",15462,18.03,,
15,Nueva Mayoría para Chile,IND,"['Rosa', 'María', 'Leal', 'Fuentes']",1009,1.18,,
15,Nueva Mayoría para Chile,IND,"['Cosme', 'Segundo', 'Caracciolo', 'Alvarez']",4251,4.96,,
