Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
37,Nueva Mayoría,IND,"('Sergio', 'Patricio', 'Aguilo', 'Melo')",22611.0,26.78,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Aguiló_Melo
38,Alianza,UDI,"('Pedro', 'Pablo', 'Alvarez-Salamanca', 'Ramirez')",17716.0,24.91,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Pablo_Álvarez-Salamanca_Ramírez
38,Nueva Mayoría,PDC,"('Pablo', 'Lorenzini', 'Basso')",28849.0,40.57,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pablo_Lorenzini_Basso
39,Alianza,UDI,"('Romilio', 'Gutierrez', 'Pino')",23526.0,30.62,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Romilio_Gutiérrez_Pino
39,Nueva Mayoría,PPD,"('Jorge', 'Tarud', 'Daccarett')",29601.0,38.53,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Tarud_Daccarett
40,Alianza,UDI,"('Ignacio', 'Urrutia', 'Bonilla')",14773.0,22.29,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ignacio_Urrutia_Bonilla
40,Nueva Mayoría,PPD,"('Guillermo', 'Ceroni', 'Fuentes')",19509.0,29.44,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Ceroni_Fuentes
41,Alianza,RN,"('Rosauro', 'Martinez', 'Labbe')",36014.0,31.23,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rosauro_Martínez_Labbé
41,Nueva Mayoría,PRSD,"('Carlos', 'Abel', 'Jarpa', 'Wevar')",37882.0,32.85,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Abel_Jarpa_Wevar
42,Nueva Mayoría,PDC,"('Jorge', 'Sabag', 'Villalobos')",45044.0,45.87,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Eduardo_Sabag_Villalobos
