Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
10,Concertación de Partidos por la Democracia,PS,"['Jaime', 'Gazmuri', 'Mujica']",82259,30.06,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Gazmuri_Mujica
10,Válidamente emitidos,,[],273659,100,,
11,Alternativa Democrática de Izquierda,PC,"['Carlos', 'Zuñiga', 'Diaz']",3421,2.13,,
11,Unión por el Progreso de Chile,UDI,"['Hernán', 'Larraín', 'Fernández']",41387,25.79,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hernán_Larraín_Fernández
11,Unión por el Progreso de Chile,UCC,"['Óscar', 'Bonilla', 'Menchaca']",20263,12.63,,
11,Concertación de Partidos por la Democracia,PPD,"['Jorge', 'Tarud', 'Daccarett']",42592,26.54,,
11,Concertación de Partidos por la Democracia,PDC,"['Manuel', 'Matta', 'Aragay']",52824,32.91,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_José_Ramón_Matta_Aragay
11,Válidamente emitidos,,[],160487,100,,
14,Alternativa Democrática de Izquierda,PC,"['Mauricio', 'Teillier', 'del Valle']",3743,2.71,,
14,Unión por el Progreso de Chile,IND,"['Orwal', 'Casanova', 'Cameron']",7013,5.07,,
14,Unión por el Progreso de Chile,RN,"['Francisco', 'Prat', 'Alemparte']",38662,27.94,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Prat_Alemparte
14,Concertación de Partidos por la Democracia,PR,"['Ricardo', 'Navarete', 'Betanzo']",33183,23.98,,
14,Concertación de Partidos por la Democracia,PPD,"['Roberto', 'Muñoz', 'Barra']",55757,40.3,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_Muñoz_Barra
14,Válidamente emitidos,,[],138358,100,,
15,Alternativa Democrática de Izquierda,MAPU,"['Óscar', 'Muñoz', 'Salgado']",3030,1.22,,
15,Alternativa Democrática de Izquierda,PC,"['Jose', 'Santos', 'Millao', 'Palacios']",5652,2.28,,
15,Unión por el Progreso de Chile,SUR,"['Eduardo', 'Díaz', 'Herrera']",52509,21.2,,
15,Unión por el Progreso de Chile,RN,"['Sergio', 'Diez', 'Urzúa']",58118,23.46,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Eduardo_de_Praga_Diez_Urzúa
15,La Nueva Izquierda,IND,"['Sergio', 'Liempi', 'Marin']",3740,1.51,,
15,Concertación de Partidos por la Democracia,PDC,"['Jorge', 'Lavandero', 'Illanes']",97389,39.32,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Exequiel_Lavandero_Illanes
15,Concertación de Partidos por la Democracia,IND,"['Victor', 'Carmine', 'Zúñiga']",27253,11,,
15,Válidamente emitidos,,[],247691,100,,
18,Alternativa Democrática de Izquierda,PC,"['Humberto', 'Vera', 'Albornoz']",518,1.33,,
