Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
Araucanía Norte,Partido Humanista,PH,0,0,0.0,0
Araucanía Norte,Alianza por Chile,UDI,0,0,0.0,0
Araucanía Norte,Alianza por Chile,RN,1,62813,48.5,1
Araucanía Norte,Partido Liberal,PL,0,0,0.0,0
Araucanía Norte,Concertación,PRSD,0,0,0.0,0
Araucanía Norte,Concertación,PPD,1,35051,27.06,1
Araucanía Norte,Concertación,PS,0,0,0.0,0
Araucanía Norte,Concertación,PDC,1,27645,21.35,0
Araucanía Norte,Válidamente emitidos,,0,129513,100.0,0
Araucanía Norte,,PR,0,0,0.0,0
Araucanía Sur,Partido Comunista,PC,1,5553,2.42,0
Araucanía Sur,Partido Humanista,PH,0,0,0.0,0
Araucanía Sur,Alianza por Chile,RN,1,79009,34.48,1
Araucanía Sur,Alianza por Chile,UDI,1,53996,23.56,0
Araucanía Sur,Partido Liberal,PL,0,0,0.0,0
Araucanía Sur,Concertación,PDC,1,81022,35.36,1
Araucanía Sur,Concertación,PPD,0,0,0.0,0
Araucanía Sur,Concertación,PS,0,0,0.0,0
Araucanía Sur,Concertación,PRSD,1,9557,4.17,0
Araucanía Sur,Válidamente emitidos,,0,229137,100.0,0
Araucanía Sur,,PR,0,0,0.0,0
Aysén,Partido Comunista,PC,1,1099,2.93,0
Aysén,Partido Humanista,PH,0,0,0.0,0
Aysén,Alianza por Chile,UDI,0,0,0.0,0
Aysén,Alianza por Chile,RN,0,0,0.0,0
Aysén,Partido Liberal,PL,0,0,0.0,0
Aysén,Concertación,PPD,0,0,0.0,0
Aysén,Concertación,PRSD,1,9468,25.25,0
Aysén,Concertación,PDC,1,11302,30.15,1
Aysén,Concertación,PS,0,0,0.0,0
Aysén,Candidatura Independiente,IND,1,2527,6.74,0
Aysén,Válidamente emitidos,,0,37492,100.0,0
Aysén,,PR,0,0,0.0,0
