Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Maule Norte,Concertación de Partidos por la Democracia,PDC,"('Máximo', 'Pacheco', 'Gómez')",114334,42.37,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Máximo_Pacheco_Gómez
Maule Norte,Concertación de Partidos por la Democracia,PPD,"('Jaime', 'Gazmuri', 'Mujica')",56826,21.06,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Gazmuri_Mujica
Maule Norte,Democracia y Progreso,IND,"('Silvio', 'Rodríguez', 'Villalobos')",15674,5.81,,,
Maule Norte,Democracia y Progreso,RN,"('Alberto', 'Cardemil', 'Herrera')",66352,24.59,,,
Maule Norte,Liberal-Socialista Chileno,PS,"('Guido', 'Briceño', 'Pérez')",4254,1.58,,,
Maule Norte,Liberal-Socialista Chileno,IND,"('Patricio', 'Alejandro', 'Parot')",12409,4.6,,,
Maule Norte,Válidamente emitidos,,(),269849,100.0,,,
Maule Sur,Concertación de Partidos por la Democracia,IND,"('Mario', 'Papi', 'Beyer')",48765,30.72,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Papi_Beyer
Maule Sur,Concertación de Partidos por la Democracia,PH,"('José', 'Tomás', 'Sáenz', 'Saavedra')",35534,22.39,,,
Maule Sur,Democracia y Progreso,RN,"('Rolando', 'Rentería', 'Medina')",8854,5.58,,,
Maule Sur,Democracia y Progreso,RN,"('Sergio', 'Onofre', 'Jarpa', 'Reyes')",55811,35.16,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Onofre_Jarpa_Reyes
Maule Sur,Liberal-Socialista Chileno,IND,"('Aldo', 'Dante', 'Roncagliolo', 'Taj-Taj')",6809,4.29,,,
Maule Sur,Liberal-Socialista Chileno,IND,"('Atiliano', 'Parada', 'Castro')",2955,1.86,,,
Maule Sur,Válidamente emitidos,,(),158728,100.0,,,
Bío-Bío Costa,Concertación de Partidos por la Democracia,PDC,"('Erwin', 'Arturo', 'Frei', 'Bolívar')",195766,38.12,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Erwin_Arturo_Frei_Bolívar
Bío-Bío Costa,Democracia y Progreso,RN,"('Renato', 'Gazmuri', 'Schleyer')",74245,14.46,,,
Bío-Bío Costa,Democracia y Progreso,UDI,"('Eugenio', 'Cantuarias', 'Larrondo')",83663,16.29,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Cantuarias_Larrondo
Bío-Bío Costa,Alianza de Centro,IND,"('Fidel', 'Reyes', 'Castillo')",34964,6.81,,,
Bío-Bío Costa,Unidad para la Democracia,PAIS,"('Luis', 'Osvaldo', 'Maira', 'Aguirre')",124884,24.32,,,
Bío-Bío Costa,Válidamente emitidos,,(),513522,100.0,,,
Bío-Bío Cordillera,Concertación de Partidos por la Democracia,PPD,"('Edgardo', 'Condeza', 'Vaccaro')",101587,28.37,,,
Bío-Bío Cordillera,Concertación de Partidos por la Democracia,PDC,"('Sergio', 'Mariano', 'Ruiz-Esquide', 'Jara')",111432,31.12,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Mariano_Ruiz-Esquide_Jara
Bío-Bío Cordillera,Democracia y Progreso,IND,"('Guillermo', 'Arthur', 'Errázuriz')",71251,19.9,,,
Bío-Bío Cordillera,Democracia y Progreso,RN,"('Mario', 'Enrique', 'Ríos', 'Santander')",73858,20.62,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Enrique_Ríos_Santander
Bío-Bío Cordillera,Válidamente emitidos,,(),358128,100.0,,,
