Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
D9,Alianza,RN,"('Fernando', 'Goncalves', 'Bustamante')",2842,4.62,,,
D9,Válidamente emitidos,,(),61455,100.0,,,
D10,Concertación Democrática,PS,"('Marco', 'Enríquez-Ominami', 'Gumucio')",46590,34.34,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Enríquez-Ominami_Gumucio
D10,Concertación Democrática,PDC,"('María', 'Eugenia', 'Mella', 'Gajardo')",28949,21.34,,,
D10,Juntos Podemos Más,PH,"('Jaime', 'Romero', 'Pérez')",2447,1.8,,,
D10,Juntos Podemos Más,PC,"('Daniel', 'Jadue', 'Jadue')",8316,6.13,,,
D10,Alianza,RN,"('Alfonso', 'Vargas', 'Lyng')",34209,25.22,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfonso_Vargas_Lyng
D10,Alianza,UDI,"('Alfonso', 'Ríos', 'Larraín')",15157,11.17,,,
D10,Válidamente emitidos,,(),135668,100.0,,,
D11,Concertación Democrática,PPD,"('Marco', 'Antonio', 'Núñez', 'Lozano')",37662,35.86,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Núñez_Lozano
D11,Concertación Democrática,PDC,"('Patricio', 'Cornejo', 'Vidaurrázaga')",19015,18.1,,,
D11,Juntos Podemos Más,PH,"('Carlos', 'Muñoz', 'Lagos')",2168,2.06,,,
D11,Juntos Podemos Más,PC,"('Mario', 'Méndez', 'Allendes')",4477,4.26,,,
D11,Alianza,RN,"('Gaspar', 'Rivas', 'Sánchez')",10730,10.22,,,
D11,Alianza,UDI,"('Marcelo', 'Forni', 'Lobos')",30980,29.5,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Forni_Lobos
D11,Válidamente emitidos,,(),105032,100.0,,,
D12,Concertación Democrática,PDC,"('Humberto', 'de la Maza', 'Maillet')",14676,12.69,,,
D12,Concertación Democrática,PS,"('Juan', 'Bustos', 'Ramírez')",35680,30.84,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_José_Bustos_Ramírez
D12,Juntos Podemos Más,PC,"('Danilo', 'Ahumada', 'Flores')",5554,4.8,,,
D12,Juntos Podemos Más,PH,"('Martín', 'Ristempart', 'Soto')",3519,3.04,,,
D12,Alianza,RN,"('Amelia', 'Herrera', 'Silva')",33184,28.69,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Amelia_Herrera_Silva
D12,Alianza,UDI,"('Osvaldo', 'Urrutia', 'Soto')",23068,19.94,,,
D12,Válidamente emitidos,,(),115681,100.0,,,
D13,Concertación Democrática,PPD,"('Laura', 'Soto', 'González')",36764,27.55,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Laura_Soto_González
D13,Concertación Democrática,PDC,"('Alex', 'Avsolomovich', 'Callejas')",23963,17.96,,,
D13,Juntos Podemos Más,PH,"('Rafael', 'Henríquez', 'Sotelo')",3339,2.5,,,
D13,Juntos Podemos Más,PC,"('Óscar', 'Aroca', 'Contreras')",11311,8.48,,,
D13,Alianza,RN,"('Joaquín', 'Godoy', 'Ibáñez')",33315,24.96,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Godoy_Ibáñez
D13,Alianza,UDI,"('Luis', 'Parot', 'Donoso')",24766,18.56,,,
D13,Válidamente emitidos,,(),133458,100.0,,,
D14,Concertación Democrática,PPD,"('Rodrigo', 'González', 'Torres')",42309,27.27,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodrigo_René_González_Torres
D14,Concertación Democrática,PDC,"('Raúl', 'Allard', 'Neumann')",22247,14.34,,,
D14,Juntos Podemos Más,PC,"('Felipe', 'Zavala', 'Jara')",9624,6.2,,,
D14,Juntos Podemos Más,IND,"('Luis', 'Aravena', 'Egaña')",2559,1.65,,,
D14,Alianza,RN,"('Francisco', 'Chahuán', 'Chahuán')",40006,25.78,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Chahuán_Chahuán
D14,Alianza,UDI,"('Gonzalo', 'Ibáñez', 'Santa María')",38430,24.77,,,
D14,Válidamente emitidos,,(),155175,100.0,,,
D15,Concertación Democrática,PDC,"('Osvaldo', 'Badenier', 'Martínez')",13905,17.13,,,
D15,Concertación Democrática,PRSD,"('Samuel', 'Venegas', 'Rubio')",17798,21.93,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Samuel_Venegas_Rubio
D15,Juntos Podemos Más,IND,"('Aníbal', 'Reyna', 'Cortinez')",1022,1.26,,,
D15,Juntos Podemos Más,PC,"('Maximiliano', 'Miranda', 'Hernández')",12224,15.06,,,
D15,Alianza,UDI,"('Edmundo', 'Eluchans', 'Urenda')",20125,24.8,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edmundo_Eluchans_Urenda
D15,Alianza,IND,"('Carlos', 'Hidalgo', 'González')",5819,7.17,,,
D15,Candidatura Independiente,IND,"('Sergio', 'Velasco', 'de la Cerda')",10260,12.64,,,
D15,Válidamente emitidos,,(),81153,100.0,,,
D16,Concertación Democrática,PS,"('Fanny', 'Pollarolo', 'Villa')",37734,25.04,,,
D16,Concertación Democrática,PDC,"('Gabriel', 'Silber', 'Romo')",38373,25.47,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gabriel_Silber_Romo
D16,Juntos Podemos Más,PC,"('Carmen', 'Hertz', 'Cádiz')",13694,9.09,,,
D16,Juntos Podemos Más,PH,"('Osvaldo', 'Toro', 'Vásquez')",4171,2.77,,,
D16,Alianza,RN,"('Peter', 'Retamales', 'Ramírez')",7281,4.83,,,
D16,Alianza,UDI,"('Patricio', 'Melero', 'Abaroa')",49412,32.8,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Melero_Abaroa
D16,Válidamente emitidos,,(),150665,100.0,,,
D17,Concertación Democrática,PPD,"('María', 'Antonieta', 'Saa', 'Díaz')",57708,37.98,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mariano_Fidel_Saavedra_Ovalle
D17,Concertación Democrática,PDC,"('Sergio', 'Espejo', 'Yaksic')",23349,15.37,,,
D17,Juntos Podemos Más,PC,"('Jorge', 'Insunza', 'Becker')",11517,7.58,,,
D17,Juntos Podemos Más,PH,"('Juan', 'López', 'Baldoma')",3675,2.42,,,
D17,Alianza,RN,"('Karla', 'Rubilar', 'Barahona')",29431,19.37,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Karla_Rubilar_Barahona
D17,Alianza,UDI,"('Álvaro', 'Cruzat', 'Ochagavía')",26247,17.28,,,
D17,Válidamente emitidos,,(),151927,100.0,,,
D18,Concertación Democrática,PDC,"('Carlos', 'Olivares', 'Zepeda')",32464,19.87,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Olivares_Zepeda
D18,Concertación Democrática,PPD,"('Guido', 'Girardi', 'Briere')",71456,43.75,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guido_Girardi_Brière
D18,Juntos Podemos Más,PC,"('Óscar', 'Hernández', 'Torres')",15971,9.78,,,
D18,Juntos Podemos Más,PH,"('José', 'Antonio', 'Salinas', 'Pinto')",4214,2.58,,,
D18,Alianza,UDI,"('Miguel', 'Schweitzer', 'Fernández')",22032,13.49,,,
D18,Alianza,RN,"('Pedro', 'Pablo', 'Díaz', 'Herrera')",17208,10.53,,,
D18,Válidamente emitidos,,(),163345,100.0,,,
D19,Concertación Democrática,PPD,"('Patricio', 'Hales', 'Dib')",53773,48.72,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Alejandro_Hales_Dib
D19,Concertación Democrática,PDC,"('Mauricio', 'Castro', 'Jara')",6420,5.82,,,
D19,Juntos Podemos Más,IND,"('Germán', 'Llanca', 'González')",5287,4.79,,,
D19,Juntos Podemos Más,IND,"('Nicolás', 'García', 'Moreno')",3383,3.07,,,
D19,Alianza,UDI,"('Claudia', 'Nogueira', 'Fernández')",33231,30.11,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Claudia_Nogueira_Fernández
D19,Alianza,RN,"('Pablo', 'Rochet', 'Araujo')",8281,7.5,,,
D19,Válidamente emitidos,,(),110375,100.0,,,
D20,Concertación Democrática,PDC,"('Luis', 'Pareto', 'González')",32139,13.44,,,
D20,Concertación Democrática,PPD,"('Álvaro', 'Escobar', 'Rufatt')",100840,42.18,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Álvaro_Escobar_Rufatt
D20,Juntos Podemos Más,PC,"('Juan', 'Andrés', 'Lagos', 'Espinoza')",15539,6.5,,,
D20,Juntos Podemos Más,IND,"('Valdemar', 'Sanhueza', 'Yevenes')",4976,2.08,,,
D20,Alianza,UDI,"('Mario', 'Varela', 'Herrera')",39581,16.56,,,
D20,Alianza,RN,"('Roberto', 'Sepúlveda', 'Hermosilla')",45992,19.24,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_Sepúlveda_Hermosilla
D20,Válidamente emitidos,,(),239067,100.0,,,
D21,Concertación Democrática,PS,"('Patricia', 'Silva', 'Meléndez')",28980,16.25,,,
D21,Concertación Democrática,PDC,"('Jorge', 'Burgos', 'Varela')",48683,27.3,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Burgos_Varela
D21,Juntos Podemos Más,PC,"('Jaime', 'Gajardo', 'Falcón')",7595,4.26,,,
D21,Juntos Podemos Más,PH,"('Juan', 'Carlos', 'Gálvez', 'Galleguillos')",6526,3.66,,,
D21,Alianza,UDI,"('Marcela', 'Cubillos', 'Sigall')",51749,29.02,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcela_Cubillos_Sigall
D21,Alianza,RN,"('Juan', 'Guillermo', 'Vivado', 'Portales')",34782,19.51,,,
D21,Válidamente emitidos,,(),178315,100.0,,,
D22,Concertación Democrática,PDC,"('Ricardo', 'Hormazabal', 'Sánchez')",9268,8.06,,,
D22,Concertación Democrática,PPD,"('Carolina', 'Tohá', 'Morales')",45769,39.79,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carolina_Tohá_Morales
D22,Juntos Podemos Más,PC,"('Claudia', 'Pascual', 'Grau')",7478,6.5,,,
D22,Juntos Podemos Más,PH,"('Claudia', 'Manríquez', 'Spicto')",2959,2.57,,,
D22,Alianza,RN,"('Carmen', 'Ibáñez', 'Soto')",16711,14.53,,,
D22,Alianza,IND,"('Alberto', 'Cardemil', 'Herrera')",32827,28.54,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Eugenio_Cardemil_Herrera
D22,Válidamente emitidos,,(),115012,100.0,,,
D23,Concertación Democrática,PPD,"('Leopoldo', 'Sánchez', 'Grunert')",14580,7.22,,,
D23,Concertación Democrática,PDC,"('Clemente', 'Pérez', 'Errázuriz')",49575,24.55,,,
D23,Juntos Podemos Más,PH,"('Carlos', 'Padilla', 'Rojas')",3922,1.94,,,
D23,Juntos Podemos Más,PC,"('Antonieta', 'Vera', 'Gajardo')",3739,1.85,,,
D23,Alianza,UDI,"('Julio', 'Dittborn', 'Cordua')",79167,39.21,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Dittborn_Cordua
D23,Alianza,RN,"('Cristián', 'Monckeberg', 'Bruner')",50923,25.22,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristián_Monckeberg_Bruner
D23,Válidamente emitidos,,(),201906,100.0,,,
D24,Concertación Democrática,PDC,"('Marigen', 'Hornkohl', 'Venegas')",24389,18.05,,,
D24,Concertación Democrática,PPD,"('Enrique', 'Accorsi', 'Opazo')",38708,28.65,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Accorsi_Opazo
D24,Juntos Podemos Más,PH,"('Susana', 'Córdova', 'Rodríguez')",4757,3.52,,,
D24,Juntos Podemos Más,PC,"('Francisco', 'Villa', 'Castro')",7273,5.38,,,
D24,Alianza,UDI,"('María', 'Angélica', 'Cristi', 'Marfil')",49918,36.95,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Angélica_Cristi_Marfil
D24,Alianza,RN,"('Francisco', 'López', 'Amenabar')",10055,7.44,,,
D24,Válidamente emitidos,,(),135100,100.0,,,
D25,Concertación Democrática,PDC,"('Marcelo', 'Ortiz', 'Aravena')",32614,20.9,,,
D25,Concertación Democrática,PPD,"('Ximena', 'Vidal', 'Lázaro')",52745,33.81,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ximena_Vidal_Lázaro
D25,Juntos Podemos Más,PC,"('Amaro', 'Labra', 'Sepúlveda')",12998,8.33,,,
D25,Juntos Podemos Más,PH,"('Juan', 'Enrique', 'Prieto', 'Urzúa')",5600,3.59,,,
D25,Alianza,RN,"('Raquel', 'Argandoña', 'de la Fuente')",21958,14.07,,,
D25,Alianza,UDI,"('Felipe', 'Salaberry', 'Soto')",30109,19.3,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Salaberry_Soto
D25,Válidamente emitidos,,(),156024,100.0,,,
D26,Concertación Democrática,PDC,"('Gonzalo', 'Duarte', 'Leiva')",20448,14.05,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Duarte_Leiva
D26,Concertación Democrática,PS,"('Carlos', 'Montes', 'Cisternas')",69997,48.08,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Montes_Cisternas
D26,Juntos Podemos Más,PC,"('Julio', 'Oliva', 'García')",3926,2.7,,,
D26,Juntos Podemos Más,PH,"('Raúl', 'Florcita', 'Alarcón', 'Rojas')",6390,4.39,,,
D26,Alianza,UDI,"('Gustavo', 'Alessandri', 'Balmaceda')",31830,21.87,,,
D26,Alianza,RN,"('Miguel', 'Navarro', 'Haeussler')",12983,8.92,,,
D26,Válidamente emitidos,,(),145574,100.0,,,
D27,Concertación Democrática,PDC,"('Eliana', 'Caraball', 'Martínez')",37234,23.0,,,
D27,Concertación Democrática,IND,"('Tucapel', 'Jiménez', 'Fuentes')",46710,28.85,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tucapel_Francisco_Jiménez_Fuentes
D27,Juntos Podemos Más,IND,"('Mónica', 'Quilodran', 'Ramos')",4293,2.65,,,
D27,Juntos Podemos Más,PC,"('Ercides', 'Martínez', 'Mercado')",8409,5.19,,,
D27,Alianza,RN,"('Carlos', 'Contreras', 'Muñoz')",16049,9.91,,,
D27,Alianza,UDI,"('Iván', 'Moreira', 'Barros')",49213,30.4,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Moreira_Barros
D27,Válidamente emitidos,,(),161908,100.0,,,
D28,Concertación Democrática,PPD,"('Jorge', 'Insunza', 'Gregorio de las Heras')",37292,24.53,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Insunza_Gregorio_de_Las_Heras
D28,Concertación Democrática,PDC,"('Rodolfo', 'Seguel', 'Molina')",35458,23.33,,,
D28,Juntos Podemos Más,PC,"('Claudina', 'Núñez', 'Jiménez')",16506,10.86,,,
D28,Juntos Podemos Más,PC,"('Eduardo', 'Contreras', 'Mella')",12927,8.5,,,
D28,Alianza,UDI,"('Darío', 'Paya', 'Mira')",31691,20.85,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Darío_Paya_Mira
D28,Alianza,RN,"('Julio', 'Ibarra', 'Maldonado')",18136,11.93,,,
D28,Válidamente emitidos,,(),152010,100.0,,,
D29,Concertación Democrática,PS,"('Isabel', 'Allende', 'Bussi')",81493,43.49,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Isabel_Allende_Bussi
D29,Concertación Democrática,PDC,"('Teresa', 'Montrone', 'Pla')",11990,6.4,,,
D29,Juntos Podemos Más,PH,"('Patricio', 'Bell', 'Avello')",4479,2.39,,,
D29,Juntos Podemos Más,PC,"('Manuel', 'Hernández', 'Vidal')",8183,4.37,,,
D29,Alianza,UDI,"('Pablo', 'Desbordes', 'Jiménez')",22205,11.85,,,
D29,Alianza,RN,"('Maximiano', 'Errázuriz', 'Eguiguren')",59054,31.51,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Maximiano_Errázuriz_Eguiguren
D29,Válidamente emitidos,,(),187404,100.0,,,
D30,Concertación Democrática,PDC,"('Edgardo', 'Riveros', 'Marín')",31484,20.8,,,
D30,Concertación Democrática,PPD,"('Ramón', 'Farías', 'Ponce')",54050,35.7,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Farías_Ponce
D30,Juntos Podemos Más,PH,"('Tania', 'Figueroa', 'Quezada')",5520,3.65,,,
D30,Juntos Podemos Más,PC,"('Sergio', 'Castro', 'Orellana')",4614,3.05,,,
D30,Alianza,UDI,"('José', 'Antonio', 'Kast', 'Rist')",47950,31.67,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Kast_Rist
D30,Alianza,RN,"('Rosa', 'Oyarce', 'Suazo')",7770,5.13,,,
D30,Válidamente emitidos,,(),151388,100.0,,,
D31,Concertación Democrática,PS,"('Denise', 'Pascal', 'Allende')",43138,27.14,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Denise_Pascal_Allende
D31,Concertación Democrática,PDC,"('Francisco', 'Puga', 'Hamilton')",33514,21.09,,,
D31,Juntos Podemos Más,PC,"('Marcela', 'Mallea', 'Bustos')",11547,7.27,,,
D31,Juntos Podemos Más,PH,"('Luis', 'Leoncio', 'Álvarez', 'González')",3647,2.29,,,
D31,Alianza,RN,"('Alberto', 'Haddad', 'Valech')",12210,7.68,,,
D31,Alianza,UDI,"('Gonzalo', 'Uriarte', 'Herrera')",54869,34.53,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Uriarte_Herrera
D31,Válidamente emitidos,,(),158925,100.0,,,
D32,Concertación Democrática,PPD,"('Esteban', 'Valenzuela', 'van Treek')",33579,36.91,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Esteban_Valenzuela_Van_Treek
D32,Concertación Democrática,IND,"('Juan', 'Ramón', 'Godoy', 'Muñoz')",13797,15.17,,,
D32,Juntos Podemos Más,PH,"('Guido', 'Oyarzun', 'Gordoniz')",2319,2.55,,,
D32,Juntos Podemos Más,PC,"('Pedro', 'Aravena', 'Rivera')",4109,4.52,,,
D32,Alianza,UDI,"('Alejandro', 'García-Huidobro', 'Sanfuentes')",33534,36.86,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_García-Huidobro_Sanfuentes
D32,Alianza,RN,"('Luis', 'Díaz', 'Correa')",3631,3.99,,,
D32,Válidamente emitidos,,(),90969,100.0,,,
D33,Concertación Democrática,PDC,"('Carlos', 'Dupre', 'Silva')",18582,16.38,,,
