Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
Los Lagos Sur,Válidamente emitidos,,0,227788,100.0,0
Magallanes,Fuerza Regional Independiente,ANI,0,0,0.0,0
Magallanes,Concertación Democrática,PS,1,21960,33.31,1
Magallanes,Concertación Democrática,PRSD,0,0,0.0,0
Magallanes,Concertación Democrática,PPD,0,0,0.0,0
Magallanes,Concertación Democrática,PDC,1,11831,17.94,0
Magallanes,Juntos Podemos Más,PH,1,803,1.22,0
Magallanes,Juntos Podemos Más,PC,0,0,0.0,0
Magallanes,Alianza,RN,0,0,0.0,0
Magallanes,Alianza,UDI,1,10910,16.55,0
Magallanes,Candidatura Independiente,IND,1,18275,27.72,1
Magallanes,Válidamente emitidos,,0,65932,100.0,0
